organ,n_scans,median_ml,q1_ml,q3_ml,iqr_ml
liver,12,1941.28,1541.55,2226.72,685.17
lung_upper_lobe_right,1,1265.77,1265.77,1265.77,0.00
small_bowel,12,1060.78,624.93,1181.69,556.77
colon,12,634.20,468.41,790.08,321.66
autochthon_left,12,413.22,356.67,469.35,112.68
autochthon_right,12,391.42,337.77,471.27,133.50
lung_lower_lobe_right,12,359.35,178.77,549.05,370.28
lung_lower_lobe_left,12,334.61,163.16,530.01,366.84
spleen,12,275.41,152.14,319.21,167.07
stomach,12,269.19,163.09,428.08,264.99
kidney_left,12,196.26,166.32,229.36,63.04
femur_right,4,196.07,176.43,207.28,30.85
kidney_right,12,182.01,160.34,214.94,54.60
femur_left,4,178.49,161.39,191.60,30.21
urinary_bladder,4,169.22,91.23,268.86,177.62
lung_middle_lobe_right,9,163.80,86.52,347.93,261.41
scapula_left,1,148.21,148.21,148.21,0.00
iliopsoas_right,12,137.30,92.97,244.95,151.98
humerus_right,1,135.10,135.10,135.10,0.00
iliopsoas_left,12,125.83,88.37,247.12,158.75
hip_left,11,118.24,32.48,289.29,256.81
humerus_left,1,115.59,115.59,115.59,0.00
gluteus_maximus_right,7,115.06,50.48,554.59,504.12
hip_right,11,112.89,31.81,298.48,266.67
sacrum,9,111.29,15.61,164.14,148.53
gluteus_maximus_left,7,107.84,27.78,543.45,515.67
costal_cartilages,12,91.97,58.76,131.81,73.06
pancreas,12,88.23,78.94,98.82,19.88
inferior_vena_cava,12,79.57,73.75,92.93,19.18
vertebrae_L3,12,75.92,64.48,85.92,21.44
scapula_right,2,75.08,40.11,110.04,69.93
vertebrae_L4,12,69.77,56.43,76.50,20.07
duodenum,12,68.72,52.46,91.52,39.05
vertebrae_L2,12,64.43,52.82,73.13,20.30
gluteus_minimus_right,5,63.58,43.89,67.63,23.74
lung_upper_lobe_left,10,62.89,24.96,162.33,137.38
trachea,1,61.13,61.13,61.13,0.00
vertebrae_L5,12,61.11,36.38,79.43,43.05
aorta,12,60.75,51.98,109.70,57.72
vertebrae_L1,12,54.47,46.79,67.02,20.23
gluteus_minimus_left,5,53.90,42.78,59.72,16.94
spinal_cord,12,46.88,34.13,61.67,27.54
vertebrae_T12,12,46.62,38.91,55.42,16.52
vertebrae_S1,9,45.17,3.62,51.07,47.45
clavicula_right,1,43.83,43.83,43.83,0.00
gluteus_medius_right,10,43.70,15.96,220.69,204.73
clavicula_left,1,42.92,42.92,42.92,0.00
vertebrae_T10,10,40.00,27.49,47.66,20.18
vertebrae_T11,12,39.05,35.18,50.08,14.90
gluteus_medius_left,11,35.46,13.32,219.22,205.90
vertebrae_T6,1,34.87,34.87,34.87,0.00
vertebrae_T5,1,31.85,31.85,31.85,0.00
vertebrae_T4,1,30.57,30.57,30.57,0.00
vertebrae_T2,1,30.46,30.46,30.46,0.00
vertebrae_T1,1,29.50,29.50,29.50,0.00
vertebrae_T3,1,28.67,28.67,28.67,0.00
vertebrae_T9,8,28.38,5.70,38.60,32.90
portal_vein_and_splenic_vein,12,28.12,17.93,34.59,16.65
rib_right_4,1,26.63,26.63,26.63,0.00
rib_left_4,1,25.28,25.28,25.28,0.00
vertebrae_C7,1,25.08,25.08,25.08,0.00
prostate,3,24.75,17.87,29.10,11.23
gallbladder,11,23.27,16.36,41.73,25.38
kidney_cyst_right,3,20.50,18.87,23.56,4.69
iliac_vena_left,10,20.04,5.49,28.05,22.56
superior_vena_cava,1,20.02,20.02,20.02,0.00
rib_right_3,1,19.66,19.66,19.66,0.00
vertebrae_T7,2,19.61,9.98,29.24,19.26
vertebrae_C6,1,19.21,19.21,19.21,0.00
rib_left_3,1,18.62,18.62,18.62,0.00
thyroid_gland,1,18.50,18.50,18.50,0.00
pulmonary_vein,2,16.07,8.18,23.96,15.79
rib_right_1,1,15.62,15.62,15.62,0.00
rib_left_10,12,15.45,8.79,18.62,9.83
rib_left_2,1,15.41,15.41,15.41,0.00
brachiocephalic_vein_left,1,15.31,15.31,15.31,0.00
rib_right_9,12,15.24,8.17,19.84,11.67
rib_right_10,12,14.98,9.27,19.74,10.46
rib_left_9,12,14.38,7.14,21.90,14.76
rib_left_1,1,14.35,14.35,14.35,0.00
rib_right_2,1,14.29,14.29,14.29,0.00
atrial_appendage_left,1,13.43,13.43,13.43,0.00
subclavian_artery_right,1,12.65,12.65,12.65,0.00
subclavian_artery_left,1,12.30,12.30,12.30,0.00
vertebrae_T8,7,12.15,0.97,13.74,12.77
rib_left_7,10,11.39,5.01,13.54,8.52
rib_left_8,12,11.28,4.92,17.26,12.34
iliac_vena_right,11,10.77,4.88,23.40,18.52
rib_right_8,12,9.62,5.74,14.41,8.67
rib_right_7,10,9.41,4.73,17.41,12.68
esophagus,11,9.02,5.34,13.45,8.11
rib_right_11,12,9.00,8.27,10.88,2.60
rib_left_11,12,8.88,7.82,13.35,5.53
brachiocephalic_trunk,1,8.51,8.51,8.51,0.00
iliac_artery_left,12,7.96,3.53,11.55,8.02
brachiocephalic_vein_right,1,7.83,7.83,7.83,0.00
common_carotid_artery_left,1,7.01,7.01,7.01,0.00
rib_left_5,4,6.35,4.79,11.64,6.85
rib_right_6,8,6.08,2.21,17.27,15.06
iliac_artery_right,12,6.08,3.98,10.14,6.17
rib_left_6,8,6.03,3.87,11.95,8.07
rib_right_5,4,5.34,4.38,11.98,7.60
sternum,8,5.24,2.34,10.05,7.71
common_carotid_artery_right,1,4.88,4.88,4.88,0.00
rib_left_12,12,4.70,2.98,5.94,2.95
adrenal_gland_left,12,4.68,3.96,5.36,1.40
adrenal_gland_right,12,4.31,3.45,5.01,1.56
rib_right_12,12,4.13,2.53,5.51,2.98
vertebrae_C5,1,3.21,3.21,3.21,0.00
